what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1603809603067
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1603809603068
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1603809603068
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1603809603084
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1603809603099
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1603809603128
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1603809603189
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1603809603215
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1603809603239
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1603809603308
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1603809603308
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1603809603333
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1603809603439
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1603809603479
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1603809603479
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1603809603496
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1603809603497
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1603809603498
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1603809603498
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1603809603509
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1603809603566
started,bundle,de.innot.avreclipse.core,2.4.2,"de.innot.avreclipse.core",1603809603567
os,sysinfo,,,"win32",1603809603569
arch,sysinfo,,,"x86_64",1603809603569
ws,sysinfo,,,"win32",1603809603569
locale,sysinfo,,,"en_US",1603809603569
processors,sysinfo,,,"4",1603809603569
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1603809603569
java.runtime.version,sysinfo,,,"1.8.0_51-b16",1603809603569
java.specification.name,sysinfo,,,"Java Platform API Specification",1603809603569
java.specification.vendor,sysinfo,,,"Oracle Corporation",1603809603569
java.specification.version,sysinfo,,,"1.8",1603809603569
java.vendor,sysinfo,,,"Oracle Corporation",1603809603569
java.version,sysinfo,,,"1.8.0_51",1603809603569
